PLAYER_NAME,PLAYER_ID,FG_PCT,FT_PCT,3PM,PTS,REB,AST,STL,BLK,TOV
Precious Achiuwa,1630173,0.49249999999999994,0.633,20.25,409.5,325.5,61.0,30.75,41.5,56.25
Steven Adams,203500,0.597,0.364,0.0,361.0,485.0,97.0,36.0,46.0,79.0
Bam Adebayo,1628389,0.5305,0.7805,8.0,1448.0,712.5,259.0,84.5,63.5,174.5
Ochai Agbaji,1630534,0.41375,0.7085,51.25,344.25,138.25,58.25,27.5,25.75,42.25
Santi Aldama,1630583,0.4525,0.6855,100.0,675.0,361.5,117.5,44.0,51.0,64.5
Trey Alexander,1641725,,,,,,,,,
Nickeil Alexander-Walker,1629638,0.43875000000000003,0.6945,63.25,345.25,92.25,105.0,32.0,21.0,46.5
Grayson Allen,1628960,0.46950000000000003,0.8915,175.5,882.0,266.0,195.0,65.5,29.5,83.5
Jarrett Allen,1628386,0.639,0.7375,0.5,1120.0,738.5,161.5,53.5,82.5,107.0
Jose Alvarado,1630631,0.4115,0.743,80.5,473.5,134.5,151.5,63.0,12.5,60.5
Kyle Anderson,203937,0.48450000000000004,0.7215,27.0,576.5,320.5,333.0,74.5,55.0,97.0
Giannis Antetokounmpo,203507,0.5820000000000001,0.651,40.5,2090.5,791.5,417.5,69.5,65.0,248.0
Cole Anthony,1630175,0.4445,0.86,84.0,859.0,299.5,235.5,50.5,34.0,108.5
OG Anunoby,1628384,0.48549999999999993,0.77475,86.5,647.5,187.0,86.25,66.0,30.5,73.5
Deni Avdija,1630166,0.47150000000000003,0.7395,78.5,899.5,513.5,248.5,62.5,32.5,141.5
Deandre Ayton,1629028,0.5794999999999999,0.7915,4.0,1061.5,638.0,102.5,46.5,47.5,109.5
Marvin Bagley III,1628963,0.57175,0.7599999999999999,9.25,417.5,223.25,36.5,14.75,24.0,41.0
Patrick Baldwin Jr.,1631116,0.3875,0.673,31.5,145.0,81.5,20.0,12.0,9.5,15.0
LaMelo Ball,1630163,0.422,0.8505,107.0,682.0,172.0,240.0,43.0,7.5,106.0
Lonzo Ball,1628366,,,,,,,,,
Mo Bamba,1628964,0.46925,0.643,30.25,224.75,172.0,33.25,12.0,36.5,24.75
Paolo Banchero,1631094,0.441,0.7315,102.0,1620.5,525.5,350.0,65.5,43.0,223.5
Desmond Bane,1630217,0.47150000000000003,0.8765000000000001,151.5,1122.0,238.0,242.0,49.5,22.0,119.0
Dalano Banton,1630625,0.402,0.76775,33.25,314.0,100.25,72.5,19.75,13.25,43.0
Dominick Barlow,1631230,0.5155000000000001,0.705,1.5,127.0,107.5,30.0,11.0,16.5,12.0
Harrison Barnes,203084,0.4735,0.8240000000000001,140.5,1115.0,307.5,113.5,55.5,11.0,72.0
Scottie Barnes,1630567,0.4655,0.7765,82.0,1185.0,503.0,367.0,79.0,74.5,159.5
RJ Barrett,1629628,0.47625000000000006,0.72875,75.25,942.75,249.5,146.75,23.25,14.75,104.0
Charles Bassey,1629646,0.6845,0.714,1.5,131.0,134.5,34.5,12.0,25.0,28.0
